origin,type_origin,destination,tipo_destination,distance_euclidiane,distance_geo
A31,collection,C5,clasification,1,179.835
A31,collection,C6,clasification,1,179.676
A31,collection,C7,clasification,1,179.888
A31,collection,C8,clasification,0,7.108
A31,collection,C9,clasification,0,7.108
A31,collection,C10,clasification,0,7.108
A31,collection,C11,clasification,1,267.522
A31,collection,C12,clasification,1,280.232
A31,collection,C13,clasification,1,274.736
A31,collection,C14,clasification,1,275.207
A31,collection,C15,clasification,1,279.364
A31,collection,C16,clasification,1,293.337
A31,collection,C17,clasification,1,277.813
A31,collection,C18,clasification,1,291.365
A31,collection,C19,clasification,1,278.222
A31,collection,C20,clasification,1,296.56
A31,collection,C21,clasification,1,297.567
A32,collection,C1,clasification,2,312.173
A32,collection,C2,clasification,1,187.904
A32,collection,C3,clasification,1,185.259
A32,collection,C4,clasification,1,183.131
A32,collection,C5,clasification,1,179.835
A32,collection,C6,clasification,1,179.676
A32,collection,C7,clasification,1,179.888
A32,collection,C8,clasification,0,7.108
A32,collection,C9,clasification,0,7.108
A32,collection,C10,clasification,0,7.108
A32,collection,C11,clasification,1,267.522
A32,collection,C12,clasification,1,280.232
A32,collection,C13,clasification,1,274.736
A32,collection,C14,clasification,1,275.207
A32,collection,C15,clasification,1,279.364
A32,collection,C16,clasification,1,293.337
A32,collection,C17,clasification,1,277.813
A32,collection,C18,clasification,1,291.365
A32,collection,C19,clasification,1,278.222
A32,collection,C20,clasification,1,296.56
A32,collection,C21,clasification,1,297.567
A33,collection,C1,clasification,2,319.501
A33,collection,C2,clasification,1,195.231
A33,collection,C3,clasification,1,192.587
A33,collection,C4,clasification,1,190.458
A33,collection,C5,clasification,1,187.162
A33,collection,C6,clasification,1,187.003
A33,collection,C7,clasification,1,187.216
A33,collection,C8,clasification,0,11.743
A33,collection,C9,clasification,0,11.743
A33,collection,C10,clasification,0,11.743
A33,collection,C11,clasification,1,268.359
A33,collection,C12,clasification,1,281.07
A33,collection,C13,clasification,1,275.574
A33,collection,C14,clasification,1,276.044
A33,collection,C15,clasification,1,280.202
A33,collection,C16,clasification,1,294.174
A33,collection,C17,clasification,1,278.65
A33,collection,C18,clasification,1,292.203
A33,collection,C19,clasification,1,279.06
A33,collection,C20,clasification,1,297.398
A33,collection,C21,clasification,1,298.405
A34,collection,C1,clasification,2,319.501
A34,collection,C2,clasification,1,195.231
A34,collection,C3,clasification,1,192.587
A34,collection,C4,clasification,1,190.458
A34,collection,C5,clasification,1,187.162
A34,collection,C6,clasification,1,187.003
A34,collection,C7,clasification,1,187.216
A34,collection,C8,clasification,0,11.743
A34,collection,C9,clasification,0,11.743
A34,collection,C10,clasification,0,11.743
A34,collection,C11,clasification,1,268.359
A34,collection,C12,clasification,1,281.07
A34,collection,C13,clasification,1,275.574
A34,collection,C14,clasification,1,276.044
A34,collection,C15,clasification,1,280.202
A34,collection,C16,clasification,1,294.174
A34,collection,C17,clasification,1,278.65
A34,collection,C18,clasification,1,292.203
A34,collection,C19,clasification,1,279.06
A34,collection,C20,clasification,1,297.398
A34,collection,C21,clasification,1,298.405
A35,collection,C1,clasification,3,550.985
A35,collection,C2,clasification,2,426.716
A35,collection,C3,clasification,2,424.071
A35,collection,C4,clasification,2,421.943
A35,collection,C5,clasification,2,418.646
A35,collection,C6,clasification,2,418.487
A35,collection,C7,clasification,2,418.7
A35,collection,C8,clasification,1,272.441
A35,collection,C9,clasification,1,272.441
A35,collection,C10,clasification,1,272.441
A35,collection,C11,clasification,0,1.089
A35,collection,C12,clasification,0,15.552
A35,collection,C13,clasification,0,10.056
A35,collection,C14,clasification,0,10.526
